epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.979,1.7515,2.08084,1.5678,0.3558,0.30435,0.22957,0.10752,2.08516,4.2655,2.05738,0.000664122,0.000664122,0.000664122
2,224.383,1.8874,1.86645,1.68301,0.15804,0.20109,0.07637,0.04009,2.29786,3.02129,1.77887,0.0013242,0.0013242,0.0013242
3,288.564,1.86416,1.86651,1.65776,0.329,0.31522,0.24249,0.10907,2.2206,2.65521,1.85531,0.00197768,0.00197768,0.00197768
4,360.416,1.81967,1.86478,1.6549,0.30743,0.41304,0.24946,0.11947,1.92878,2.21624,1.58772,0.0019703,0.0019703,0.0019703
5,431.894,1.77615,1.77891,1.60741,0.2032,0.33696,0.19164,0.09034,1.93692,2.14394,1.63098,0.0019604,0.0019604,0.0019604
6,495.434,1.72941,1.63419,1.57013,0.36947,0.46813,0.3396,0.17998,1.74955,1.84433,1.48742,0.0019505,0.0019505,0.0019505
7,567.761,1.69346,1.59981,1.54918,0.47207,0.47826,0.3875,0.19804,1.77953,1.81832,1.4945,0.0019406,0.0019406,0.0019406
8,638.807,1.66156,1.56582,1.52433,0.46859,0.53804,0.45248,0.23929,1.64069,1.66883,1.41309,0.0019307,0.0019307,0.0019307
9,709.219,1.63048,1.50843,1.52036,0.40096,0.40761,0.36468,0.19765,1.64232,1.70979,1.40413,0.0019208,0.0019208,0.0019208
10,772.827,1.5681,1.468,1.47497,0.43603,0.57985,0.4063,0.21409,1.65488,1.64036,1.4404,0.0019109,0.0019109,0.0019109
11,838.663,1.57727,1.4561,1.48834,0.39972,0.55978,0.39687,0.2033,1.61914,1.60189,1.38651,0.001901,0.001901,0.001901
12,902.459,1.54115,1.4299,1.47336,0.50737,0.52615,0.43347,0.22139,1.67126,1.59092,1.36056,0.0018911,0.0018911,0.0018911
13,966.245,1.55984,1.4213,1.47842,0.40184,0.49457,0.40452,0.22787,1.59472,1.65511,1.37646,0.0018812,0.0018812,0.0018812
14,1030.36,1.53024,1.40595,1.4836,0.44408,0.58696,0.4523,0.2526,1.57096,1.56289,1.3287,0.0018713,0.0018713,0.0018713
15,1101.81,1.52152,1.34427,1.43176,0.41549,0.51087,0.39691,0.22439,1.59852,1.56924,1.39569,0.0018614,0.0018614,0.0018614
16,1165.28,1.53109,1.41728,1.44788,0.448,0.55978,0.4677,0.2488,1.535,1.6426,1.3411,0.0018515,0.0018515,0.0018515
17,1229.14,1.51868,1.36092,1.4496,0.35025,0.55978,0.39918,0.23123,1.53036,1.62633,1.34045,0.0018416,0.0018416,0.0018416
18,1292.05,1.50326,1.35007,1.43618,0.38869,0.55978,0.41003,0.22295,1.515,1.63554,1.32705,0.0018317,0.0018317,0.0018317
19,1355.22,1.47556,1.30305,1.43032,0.47824,0.48913,0.44465,0.24204,1.60618,1.64003,1.38389,0.0018218,0.0018218,0.0018218
20,1420.8,1.47556,1.31258,1.40698,0.53927,0.59239,0.49389,0.27017,1.51667,1.49559,1.31429,0.0018119,0.0018119,0.0018119
21,1493.16,1.43248,1.24305,1.38045,0.41616,0.58109,0.38741,0.20747,1.54105,1.56331,1.30315,0.001802,0.001802,0.001802
22,1557.55,1.44942,1.3039,1.39569,0.43007,0.6087,0.48133,0.26595,1.5649,1.51385,1.30978,0.0017921,0.0017921,0.0017921
23,1621.81,1.4356,1.24867,1.38922,0.41566,0.6087,0.44618,0.25189,1.45846,1.49584,1.29286,0.0017822,0.0017822,0.0017822
24,1684.74,1.42526,1.25496,1.38797,0.54219,0.58696,0.47429,0.25376,1.5828,1.47794,1.36298,0.0017723,0.0017723,0.0017723
25,1748.73,1.41847,1.24733,1.37825,0.50804,0.61175,0.49274,0.26906,1.51646,1.4505,1.33026,0.0017624,0.0017624,0.0017624
26,1811.6,1.40044,1.21104,1.3682,0.4984,0.65761,0.52818,0.30815,1.45661,1.34643,1.29185,0.0017525,0.0017525,0.0017525
27,1887.22,1.41212,1.20361,1.37669,0.55406,0.57609,0.50225,0.28878,1.48022,1.34478,1.29737,0.0017426,0.0017426,0.0017426
28,1949.83,1.4082,1.2327,1.37972,0.52467,0.58696,0.49932,0.27083,1.52351,1.4234,1.30897,0.0017327,0.0017327,0.0017327
29,2014,1.37301,1.19216,1.35414,0.50197,0.58152,0.49198,0.27818,1.58234,1.41002,1.34065,0.0017228,0.0017228,0.0017228
30,2077.04,1.41536,1.21767,1.3755,0.52109,0.58543,0.52101,0.29763,1.48423,1.40676,1.31952,0.0017129,0.0017129,0.0017129
31,2139.95,1.38493,1.18761,1.33629,0.48636,0.63043,0.49748,0.28108,1.49975,1.45043,1.32227,0.001703,0.001703,0.001703
32,2202.16,1.39557,1.18733,1.3593,0.55988,0.54619,0.53349,0.2919,1.47015,1.35702,1.29807,0.0016931,0.0016931,0.0016931
33,2264.68,1.36013,1.17657,1.35052,0.49816,0.58696,0.4925,0.29759,1.40531,1.37436,1.27076,0.0016832,0.0016832,0.0016832
34,2325.72,1.36754,1.14789,1.3592,0.56386,0.59783,0.53121,0.30101,1.46386,1.29313,1.27218,0.0016733,0.0016733,0.0016733
35,2387.35,1.38031,1.17346,1.36867,0.54124,0.55784,0.51311,0.28479,1.55657,1.45871,1.34899,0.0016634,0.0016634,0.0016634
36,2448.74,1.37093,1.16925,1.36827,0.51675,0.66304,0.53825,0.32072,1.44763,1.29025,1.28348,0.0016535,0.0016535,0.0016535
37,2520.68,1.34686,1.13721,1.33781,0.55297,0.6454,0.53087,0.28664,1.50507,1.29533,1.30111,0.0016436,0.0016436,0.0016436
38,2582.58,1.33031,1.13386,1.32481,0.53264,0.59783,0.53497,0.30817,1.46214,1.34384,1.26789,0.0016337,0.0016337,0.0016337
39,2643.45,1.33733,1.13784,1.32477,0.48242,0.60326,0.52189,0.285,1.50966,1.33462,1.32034,0.0016238,0.0016238,0.0016238
40,2704.67,1.33018,1.11554,1.33791,0.47999,0.65761,0.51572,0.29171,1.50827,1.30691,1.30465,0.0016139,0.0016139,0.0016139
41,2766.59,1.32765,1.09011,1.3134,0.46116,0.52717,0.49646,0.25157,1.56744,1.41777,1.32844,0.001604,0.001604,0.001604
42,2829.05,1.34248,1.10041,1.33946,0.5715,0.61413,0.5535,0.31344,1.43542,1.21899,1.27093,0.0015941,0.0015941,0.0015941
43,2891.69,1.31272,1.06083,1.31213,0.55539,0.64495,0.52779,0.28954,1.55698,1.43513,1.36988,0.0015842,0.0015842,0.0015842
44,2953.68,1.31736,1.08716,1.32209,0.51677,0.6413,0.5201,0.28202,1.52901,1.36375,1.31276,0.0015743,0.0015743,0.0015743
45,3016.39,1.32182,1.08167,1.31926,0.57385,0.63043,0.55576,0.30976,1.48582,1.23287,1.29638,0.0015644,0.0015644,0.0015644
46,3078.24,1.33669,1.11335,1.31436,0.5548,0.63043,0.52635,0.30494,1.39069,1.34003,1.24504,0.0015545,0.0015545,0.0015545
47,3140.64,1.30153,1.09006,1.31823,0.52119,0.56522,0.52624,0.29926,1.43975,1.32021,1.25551,0.0015446,0.0015446,0.0015446
48,3202.2,1.28344,1.08327,1.29519,0.53691,0.63043,0.53332,0.31332,1.39031,1.25952,1.23992,0.0015347,0.0015347,0.0015347
49,3267.96,1.3017,1.05697,1.3087,0.56362,0.63587,0.55618,0.33179,1.36481,1.29395,1.22489,0.0015248,0.0015248,0.0015248
50,3346.25,1.30468,1.08943,1.33241,0.50003,0.57609,0.50579,0.27539,1.51029,1.39739,1.29747,0.0015149,0.0015149,0.0015149
51,3415.36,1.26467,1.01863,1.27434,0.58853,0.56746,0.53836,0.31,1.48217,1.2628,1.27881,0.001505,0.001505,0.001505
52,3484.56,1.27257,1.03668,1.28565,0.56038,0.57609,0.52245,0.29907,1.51917,1.28838,1.2593,0.0014951,0.0014951,0.0014951
53,3552.5,1.28917,1.04182,1.32059,0.53666,0.58696,0.51576,0.29535,1.49083,1.3656,1.29122,0.0014852,0.0014852,0.0014852
54,3620.42,1.28535,1.01974,1.29796,0.45466,0.657,0.48057,0.26593,1.48084,1.41369,1.29825,0.0014753,0.0014753,0.0014753
55,3687.23,1.28659,1.05309,1.30114,0.53495,0.60326,0.52862,0.28448,1.59191,1.37889,1.32245,0.0014654,0.0014654,0.0014654
56,3754.72,1.2905,1.05387,1.30473,0.58195,0.66578,0.55636,0.32608,1.3869,1.23315,1.23937,0.0014555,0.0014555,0.0014555
57,3822.48,1.27612,1.04811,1.30114,0.55283,0.69022,0.56854,0.33296,1.44835,1.23754,1.2668,0.0014456,0.0014456,0.0014456
58,3898.08,1.29834,1.0155,1.30567,0.56822,0.60326,0.5646,0.33134,1.4104,1.23255,1.24452,0.0014357,0.0014357,0.0014357
59,3965.46,1.27314,1.00584,1.29005,0.59674,0.65217,0.60394,0.36189,1.35973,1.15488,1.22436,0.0014258,0.0014258,0.0014258
60,4041.82,1.26713,1.0226,1.28846,0.61603,0.59783,0.58055,0.33555,1.39703,1.22482,1.2295,0.0014159,0.0014159,0.0014159
61,4109.57,1.25494,1.02157,1.26456,0.52004,0.60326,0.53154,0.3179,1.3775,1.24517,1.25616,0.001406,0.001406,0.001406
62,4175.43,1.26507,1.01215,1.28252,0.55738,0.6228,0.56727,0.32413,1.41692,1.23127,1.25719,0.0013961,0.0013961,0.0013961
63,4241.84,1.25116,0.97302,1.28084,0.59146,0.68478,0.59147,0.33813,1.39578,1.20093,1.25602,0.0013862,0.0013862,0.0013862
64,4308.36,1.24679,0.97851,1.2652,0.54568,0.64674,0.54912,0.32415,1.40024,1.21671,1.27295,0.0013763,0.0013763,0.0013763
65,4374.96,1.25262,1.05939,1.29476,0.56325,0.63043,0.55655,0.33622,1.37093,1.26221,1.21852,0.0013664,0.0013664,0.0013664
66,4441.8,1.23916,1.03188,1.27783,0.59146,0.60326,0.56175,0.33958,1.3309,1.23519,1.20598,0.0013565,0.0013565,0.0013565
67,4509.14,1.24019,0.97258,1.27965,0.59866,0.63587,0.59211,0.34197,1.37727,1.19364,1.2386,0.0013466,0.0013466,0.0013466
68,4575.59,1.25554,0.98107,1.28225,0.5833,0.61957,0.56514,0.31997,1.51328,1.29505,1.29646,0.0013367,0.0013367,0.0013367
69,4641.78,1.22827,0.98166,1.26392,0.68322,0.66813,0.63445,0.37126,1.37064,1.1377,1.24988,0.0013268,0.0013268,0.0013268
70,4717.3,1.23219,0.96494,1.27093,0.61275,0.66304,0.60858,0.36938,1.34572,1.18629,1.22595,0.0013169,0.0013169,0.0013169
71,4783.24,1.22789,0.97133,1.26104,0.60275,0.65146,0.59455,0.35107,1.37462,1.22747,1.22015,0.001307,0.001307,0.001307
72,4850.28,1.19697,0.94771,1.23322,0.59712,0.6283,0.55927,0.3273,1.43685,1.19409,1.25771,0.0012971,0.0012971,0.0012971
73,4916.39,1.19961,0.95986,1.22795,0.65183,0.63043,0.61699,0.36255,1.37216,1.14418,1.2248,0.0012872,0.0012872,0.0012872
